secs,nsecs,latitude,longitude,altitude
1453942733,33532138,40.756569955,-73.983089603,-3.992
1453942733,35372342,40.756569955,-73.983089603,-3.992
1453942734,50455690,40.756613498,-73.983049441,-2.948
1453942734,52393154,40.756613498,-73.983049441,-2.948
1453942735,17486943,40.756652199,-73.983009304,-2.106
1453942735,19406403,40.756652199,-73.983009304,-2.106
1453942736,35544206,40.756689225,-73.982968033,-1.135
1453942736,37473423,40.756689225,-73.982968033,-1.135
1453942737,59474628,40.75671993,-73.982929705,-0.825
1453942737,61413162,40.75671993,-73.982929705,-0.825
1453942738,28503946,40.756761294,-73.982901809,-0.188
1453942738,30414784,40.756761294,-73.982901809,-0.188
1453942739,47457915,40.756803511,-73.982878665,0.615
1453942739,49360563,40.756803511,-73.982878665,0.615
1453942740,52484817,40.756833524,-73.982864265,1.583
1453942740,54329644,40.756833524,-73.982864265,1.583
1453942741,17451148,40.756854736,-73.982850038,2.489
1453942741,19356949,40.756854736,-73.982850038,2.489
1453942742,60430068,40.756871815,-73.982830699,3.375
1453942742,62311001,40.756871815,-73.982830699,3.375
1453942743,26400079,40.756891689,-73.982814507,4.447
1453942743,28370526,40.756891689,-73.982814507,4.447
1453942744,51440015,40.756917729,-73.982801424,5.436
1453942744,53362623,40.756917729,-73.982801424,5.436
1453942745,19459045,40.756955232,-73.982767316,6.659
1453942745,21372275,40.756955232,-73.982767316,6.659
1453942746,36429502,40.757001763,-73.982739614,7.247
1453942746,38353041,40.757001763,-73.982739614,7.247
1453942747,64398965,40.757048632,-73.98271004,8.218
1453942747,66370137,40.757048632,-73.98271004,8.218
1453942748,42463366,40.757100792,-73.982684672,9.154
1453942748,44357039,40.757100792,-73.982684672,9.154
1453942749,25411261,40.757157203,-73.982655885,10.146
1453942749,27274128,40.757157203,-73.982655885,10.146
1453942750,56387619,40.757208764,-73.982629259,10.848
1453942750,58299902,40.757208764,-73.982629259,10.848
1453942751,26441703,40.757256081,-73.982599181,11.636
1453942751,28340309,40.757256081,-73.982599181,11.636
1453942752,57523949,40.757300816,-73.982567194,12.394
1453942752,59381277,40.757300816,-73.982567194,12.394
1453942753,28366360,40.757343197,-73.982538637,12.935
1453942753,30289421,40.757343197,-73.982538637,12.935
1453942754,51346058,40.757396145,-73.982505186,13.241
1453942754,53263386,40.757396145,-73.982505186,13.241
1453942755,17370402,40.757459706,-73.982466125,13.65
1453942755,19260914,40.757459706,-73.982466125,13.65
1453942756,31329724,40.757514704,-73.982422726,nan
1453942756,33276311,40.757514704,-73.982422726,nan
1453942757,57369995,40.757555964,-73.98238893,13.918
1453942757,59306078,40.757555964,-73.98238893,13.918
1453942758,27327363,40.757585415,-73.98235738,13.984
1453942758,29279809,40.757585415,-73.98235738,13.984
1453942759,51395374,40.757619546,-73.98232931,14.217
1453942759,53328281,40.757619546,-73.98232931,14.217
1453942760,57333447,40.757654774,-73.982309211,14.405
1453942760,59220860,40.757654774,-73.982309211,14.405
1453942761,29399955,40.757688704,-73.982293962,14.756
1453942761,31273739,40.757688704,-73.982293962,14.756
1453942762,55395641,40.75771438,-73.982278871,15.285
1453942762,57280897,40.75771438,-73.982278871,15.285
1453942763,27297167,40.757734703,-73.982264825,15.966
1453942763,29204792,40.757734703,-73.982264825,15.966
1453942764,52310655,40.757752302,-73.982256306,16.565
1453942764,54252050,40.757752302,-73.982256306,16.565
1453942765,26443504,40.757765121,-73.982248246,16.955
1453942765,28254539,40.757765121,-73.982248246,16.955
1453942766,50364723,40.757779285,-73.982232196,17.354
1453942766,52207973,40.757779285,-73.982232196,17.354
1453942767,30337622,40.757790937,-73.982218368,17.637
1453942767,32231038,40.757790937,-73.982218368,17.637
1453942768,57351633,40.757785828,-73.982215003,17.875
1453942768,59249202,40.757785828,-73.982215003,17.875
1453942769,24402803,40.757775869,-73.982218887,18.333
1453942769,26290636,40.757775869,-73.982218887,18.333
1453942770,51297428,40.757775869,-73.982218887,18.333
1453942770,53254548,40.757775869,-73.982218887,18.333
1453942771,19319886,40.757775869,-73.982218887,18.333
1453942771,21376190,40.757775869,-73.982218887,18.333
1453942772,26308918,40.757775869,-73.982218887,nan
1453942772,28186055,40.757775869,-73.982218887,nan
1453942773,46225868,40.757775869,-73.982218887,18.333
1453942773,48165041,40.757775869,-73.982218887,18.333
1453942774,17334375,40.757775869,-73.982218887,18.333
1453942774,19226292,40.757775869,-73.982218887,18.333
1453942775,41338277,40.757775869,-73.982218887,18.333
1453942775,43215555,40.757775869,-73.982218887,18.333
1453942776,10284670,40.757775869,-73.982218887,18.333
1453942776,12163428,40.757775869,-73.982218887,18.333
1453942777,28313077,40.757775869,-73.982218887,18.333
1453942777,30205590,40.757775869,-73.982218887,18.333
1453942778,43289467,40.757775869,-73.982218887,18.333
1453942778,45220838,40.757775869,-73.982218887,18.333
1453942779,28269756,40.757775869,-73.982218887,18.333
1453942779,30105931,40.757775869,-73.982218887,18.333
